"pair","score"
"aldC_2~~~aldC_1~~~aldC_3bceA_2~~~bceA_1~~~bceA_3",1.07632e-12
"aldC_2~~~aldC_1~~~aldC_3bceB_4~~~bceB_3~~~bceB_2~~~bceB_1",7.84219e-13
"aldC_2~~~aldC_1~~~aldC_3bglA_1~~~bglA~~~bglA_2",-3.27776e-10
"aldC_2~~~aldC_1~~~aldC_3bglA_2~~~bglA",1.3337e-21
"aldC_2~~~aldC_1~~~aldC_3clpC_1~~~clpL_1~~~clpL~~~clpL_2",1.20524e-15
"aldC_2~~~aldC_1~~~aldC_3cls_1~~~cls_2~~~clsA~~~cls_3",3.58215e-13
"aldC_2~~~aldC_1~~~aldC_3cpnA~~~fabG_2~~~sdh~~~bacC_1~~~baiA1_2",3.08984e-09
"aldC_2~~~aldC_1~~~aldC_3cycA_4~~~cycA_3~~~cycA_1~~~cycA_2",7.84219e-13
"aldC_2~~~aldC_1~~~aldC_3desK~~~desK_2~~~uhpB",1.47377e-12
"aldC_2~~~aldC_1~~~aldC_3dus~~~dus_1~~~dus_2",7.67902e-14
"aldC_2~~~aldC_1~~~aldC_3eamA~~~yedA",1.61544e-11
"aldC_2~~~aldC_1~~~aldC_3ebh_3~~~ebh_2~~~ebh_1~~~ebh_5~~~ebh_4~~~ebhA~~~ebhA_1~~~ebh_6~~~ebhA_3~~~ebhA_2~~~ebh_7",6.99517e-08
"aldC_2~~~aldC_1~~~aldC_3ermA1~~~ermA1_2",1.36768e-10
"aldC_2~~~aldC_1~~~aldC_3est_1~~~est_2~~~est~~~est_3",9.43898e-11
"aldC_2~~~aldC_1~~~aldC_3fccB",2.10656e-15
"aldC_2~~~aldC_1~~~aldC_3fda",6.99713e-09
"aldC_2~~~aldC_1~~~aldC_3fecD_2~~~fecD_1~~~feuB_1~~~feuB_2~~~yfhA~~~btuC",2.0861e-12
"aldC_2~~~aldC_1~~~aldC_3fecE~~~yusV~~~ykoD_3",1.07632e-12
"aldC_2~~~aldC_1~~~aldC_3fetA_2~~~fetA_1~~~fetA~~~mlaF",3.46292e-10
"aldC_2~~~aldC_1~~~aldC_3fib_2~~~fib_1",1.05381e-14
"aldC_2~~~aldC_1~~~aldC_3flA~~~salL_2~~~salL~~~salL_1",3.00818e-11
"aldC_2~~~aldC_1~~~aldC_3flr~~~flr_2~~~flr_1",1.60649e-14
"aldC_2~~~aldC_1~~~aldC_3fosB",6.42266e-17
